Bin,Density,Frequency,Min,Max,Fit,sub Dist,Density^2,Fit^2,Normed Fit,Normed Fit^2,Variables,NORM =/=1,Assumed Norm =1,Percent Diff,,,,,Remove Outliers,Bin,Density,Frequency,Min,Max,Fit,sum Dist,Variables,NORM =/=1,Assumed Norm =1,Percent Diff same data,Percent Diff Norm=/=1,Percent Diff Norm=1
-25.02360514,0,0,-25.03914281,-25.00806747,0.000711803,5.07E-07,0,5.07E-07,0.000632395,4.00E-07,,,,,,,,,,-15.39024991,0,0,-15.40578758,-15.37471224,0.001855341,3.44E-06,,,,,,
-24.9925298,0,0,-25.00806747,-24.97699213,0.000713554,5.09E-07,0,5.09E-07,0.000633951,4.02E-07,,,,,,,,,,-15.35917457,0,0,-15.37471224,-15.3436369,0.001862695,3.47E-06,,,,,,
-24.96145446,0,0,-24.97699213,-24.94591679,0.000715311,5.12E-07,0,5.12E-07,0.000635513,4.04E-07,,,,,,,,,,-15.32809923,0,0,-15.3436369,-15.31256156,0.001870092,3.50E-06,,,,,,
-24.93037912,0,0,-24.94591679,-24.91484145,0.000717075,5.14E-07,0,5.14E-07,0.000637081,4.06E-07,,,,,,,,,,-15.29702389,0,0,-15.31256156,-15.28148622,0.001877534,3.53E-06,,,,,,
-24.89930378,0,0,-24.91484145,-24.88376611,0.000718845,5.17E-07,0,5.17E-07,0.000638654,4.08E-07,,,,,,,,,,-15.26594855,0,0,-15.28148622,-15.25041088,0.00188502,3.55E-06,,,,,,
-24.86822844,0,0,-24.88376611,-24.85269077,0.000720622,5.19E-07,0,5.19E-07,0.000640233,4.10E-07,,,,,,,,,,-15.23487321,0,0,-15.25041088,-15.21933554,0.00189255,3.58E-06,,,,,,
-24.8371531,0,0,-24.85269077,-24.82161543,0.000722405,5.22E-07,0,5.22E-07,0.000641819,4.12E-07,,,,,,,,,,-15.20379787,0,0,-15.21933554,-15.1882602,0.001900126,3.61E-06,,,,,,
-24.80607776,0,0,-24.82161543,-24.79054009,0.000724195,5.24E-07,0,5.24E-07,0.00064341,4.14E-07,,,,,,,,,,-15.17272253,0,0,-15.1882602,-15.15718486,0.001907747,3.64E-06,,,,,,
-24.77500242,0,0,-24.79054009,-24.75946475,0.000725992,5.27E-07,0,5.27E-07,0.000645006,4.16E-07,,,,,,,,,,-15.14164719,0,0,-15.15718486,-15.12610952,0.001915414,3.67E-06,,,,,,
-24.74392708,0,0,-24.75946475,-24.72838941,0.000727795,5.30E-07,0,5.30E-07,0.000646609,4.18E-07,,,,,,,,,,-15.11057185,0,0,-15.12610952,-15.09503418,0.001923127,3.70E-06,,,,,,
-24.71285174,0,0,-24.72838941,-24.69731407,0.000729605,5.32E-07,0,5.32E-07,0.000648218,4.20E-07,,,,,,,,,,-15.07949651,0,0,-15.09503418,-15.06395884,0.001930887,3.73E-06,,,,,,
-24.6817764,0,0,-24.69731407,-24.66623873,0.000731422,5.35E-07,0,5.35E-07,0.000649833,4.22E-07,,,,,,,,,,-15.04842117,0,0,-15.06395884,-15.0328835,0.001938693,3.76E-06,,,,,,
-24.65070106,0,0,-24.66623873,-24.63516339,0.000733245,5.38E-07,0,5.38E-07,0.000651454,4.24E-07,,,,,,,,,,-15.01734583,0,0,-15.0328835,-15.00180816,0.001946547,3.79E-06,,,,,,
-24.61962572,0,0,-24.63516339,-24.60408806,0.000735076,5.40E-07,0,5.40E-07,0.000653081,4.27E-07,,,,,,,,,,-14.98627049,0,0,-15.00180816,-14.97073282,0.001954449,3.82E-06,,,,,,
-24.58855039,0,0,-24.60408806,-24.57301272,0.000736913,5.43E-07,0,5.43E-07,0.000654714,4.29E-07,,,,,,,,,,-14.95519515,0,0,-14.97073282,-14.93965748,0.001962399,3.85E-06,,,,,,
-24.55747505,0,0,-24.57301272,-24.54193738,0.000738757,5.46E-07,0,5.46E-07,0.000656353,4.31E-07,,,,,,,,,,-14.92411981,0,0,-14.93965748,-14.90858215,0.001970397,3.88E-06,,,,,,
-24.52639971,0,0,-24.54193738,-24.51086204,0.000740608,5.49E-07,0,5.49E-07,0.000657999,4.33E-07,,,,,,,,,,-14.89304448,0,0,-14.90858215,-14.87750681,0.001978444,3.91E-06,,,,,,
-24.49532437,0,0,-24.51086204,-24.4797867,0.000742466,5.51E-07,0,5.51E-07,0.00065965,4.35E-07,,,,,,,,,,-14.86196914,0,0,-14.87750681,-14.84643147,0.00198654,3.95E-06,,,,,,
-24.46424903,0,0,-24.4797867,-24.44871136,0.000744331,5.54E-07,0,5.54E-07,0.000661308,4.37E-07,,,,,,,,,,-14.8308938,0,0,-14.84643147,-14.81535613,0.001994686,3.98E-06,,,,,,
-24.43317369,0,0,-24.44871136,-24.41763602,0.000746203,5.57E-07,0,5.57E-07,0.000662972,4.40E-07,,,,,,,,,,-14.79981846,0,0,-14.81535613,-14.78428079,0.002002882,4.01E-06,,,,,,
-24.40209835,0,0,-24.41763602,-24.38656068,0.000748082,5.60E-07,0,5.60E-07,0.000664642,4.42E-07,,,,,,,,,,-14.76874312,0,0,-14.78428079,-14.75320545,0.002011129,4.04E-06,,,,,,
-24.37102301,0,0,-24.38656068,-24.35548534,0.000749968,5.62E-07,0,5.62E-07,0.000666319,4.44E-07,,,,,,,,,,-14.73766778,0,0,-14.75320545,-14.72213011,0.002019426,4.08E-06,,,,,,
-24.33994767,0,0,-24.35548534,-24.32441,0.000751862,5.65E-07,0,5.65E-07,0.000668002,4.46E-07,,,,,,,,,,-14.70659244,0.01290291,1,-14.72213011,-14.69105477,0.002027775,0.000118269,,,,,,
-24.30887233,0,0,-24.32441,-24.29333466,0.000753762,5.68E-07,0,5.68E-07,0.000669691,4.48E-07,,,,,,,,,,-14.6755171,0,0,-14.69105477,-14.65997943,0.002036176,4.15E-06,,,,,,
-24.27779699,0,0,-24.29333466,-24.26225932,0.00075567,5.71E-07,0,5.71E-07,0.000671387,4.51E-07,,,,,,,,,,-14.64444176,0,0,-14.65997943,-14.62890409,0.002044628,4.18E-06,,,,,,
-24.24672165,0,0,-24.26225932,-24.23118398,0.000757585,5.74E-07,0,5.74E-07,0.000673089,4.53E-07,,,,,,,,,,-14.61336642,0,0,-14.62890409,-14.59782875,0.002053133,4.22E-06,,,,,,
-24.21564631,0,0,-24.23118398,-24.20010864,0.000759507,5.77E-07,0,5.77E-07,0.000674798,4.55E-07,,,,,,,,,,-14.58229108,0,0,-14.59782875,-14.56675341,0.002061692,4.25E-06,,,,,,
